,ARTIST,ALBUM TITLE,Box #,Notes,Double,Type of Double
1,Bonzo Dog Band,Lets Make Up And Be Friendly,1,,,
2,Blue Cheer,New! Improved! Blue Cheer,1,Track A1 skipped?,,
3,Three Dog Night,Harmony,1,,,
4,Livingston Taylor,Livingston Taylor,1,,,
5,Buffalo Springfield,Again,1,,,
6,Procol Harum,A Salty Dog,1,,,
7,Outsideinside,Blue Cheer,1,,,
9,Jefferson Airplane,Crown Of Creation,1,,,
10,"Baez, Joan",David's Album,1,,,
11,"Wackers, The",Shredder,1,,,
13,Jefferson Airplane,Alive At The Fillmore East/West,1,,,
14,"Coolidge, Rita",Rita Coolidge,1,,,
15,Mathews Southern Comfort,Later That Same Year,1,,,
16,Cream,Goodbye,1,,,
17,Country Joe And The Fish,I-Feel-Like-I'm-Fixin'-To-Die,1,,,
18,"Bee Gees, The",Idea,1,,,
19,"Baez, Joan",One Day At A Time,1,,,
20,"Collins, Judy",Living,1,,,
21,"Williams, Mason",Music By Mason Williams,1,,,
22,"Feliciano, Jose",Alive Alive-O,1,,X,1/4 (?)
23,Big Brother And The Holding Company,How Hard It Is,1,,,
25,Hot Tuna,Hot Tuna,1,,,
26,"Paxton, Tom",Morning Again,1,,,
27,Waiting For The Electrician Or Som,The Firesign Theater Presents,1,,,
28,Rare Bird,As Your Mind Flies By,1,,,
29,"Paxton, Tom",The Things I Notice Now,1,,,
30,Melanie,Garden In The City,1,,,
33,"John, Elton",Mad Man Across The Water,1,,,
39,Delaney & Bonnie & Friends,To Bonnie From Delaney,1,,,
40,Humble Pie,Humble Pie,1,,,
41,Plum Nelly,Deceptive Lines,1,,,
43,"Nice, The",The Five Bridges,1,,,
44,Sugar Loaf,Spaceship Earth,1,,,
45,"Byrds, The",Ballad Of Easy Rider,1,,,
46,Fleetwood Mac,Then Play On,1,,,
47,"Jimi Hendrix Experience, The",Axis: Bold As Love,1,,,
49,"Schwarz, Brinsley",Despite It All,1,,,
50,"Incredible String Band, The",The Hangman's Beautiful Daughter,1,Re-record - only side 1 recorded,,
51,"Collins, Judy",Recollections,1,,,
52,Delaney & Bonnie,Home,1,,,
53,Jefferson Airplane,After Bathing At Baxter's,1,,,
54,"Original Delaney & Bonnie & Fr, Th",Accept No Substitute,1,,,
56,Led Zeppelin,Led Zeppelin IV,1,,,
57,"Dylan, Bob",Another Side Of Bob Dylan,1,,,
58,Melanie,Melanie,1,,,
59,"Mitchell, Joni",Ladies Of The Canyon,1,,,
60,Vanilla Fudge,Vanilla Fudge,1,,,
61,Simon And Garfunkel,Sounds Of Silence,1,,,
62,"Bruce, Jack",Things We Like,1,DONE RE-RECORDING,,
64,"Youngbloods, The",Good And Dusty,1,,,
65,"Diamond, Neil",Gold,1,,,
66,"Nazz, The","Nazz, The",1,,,
67,"Mitchell, Joni",Clouds,1,,,
68,Donovan,Sunshine Superman,1,,,
70,Simon And Garfunkel,"Parsley, Sage, Rosemary And Thyme",1,,,
72,"Mclean, Don",American Pie,1,,,
